번호	제목	파일명	말뭉치분류	매체	가공형태	올린사람	올린날짜	내려받기
174	일상대화_운전면허에대해, 형태소 분석 전자파일	5CT_0022.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	656
175	일상대화_여대생10인잡담, 형태소 분석 전자파일	6CT_0044.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	691
176	일상대화_아버지의학교생활, 형태소 분석 전자파일	5CT_0021.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	673
177	일상대화_식생활에대해, 형태소 분석 전자파일	5CT_0020.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	662
178	일상대화_식사중회사원3인, 형태소 분석 전자파일	5CT_0019.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	671
179	일상대화_식사중대학생3인, 형태소 분석 전자파일	5CT_0018.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	678
180	일상대화_식사중대학생2인#2, 형태소 분석 전자파일	6CT_0043.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	664
181	일상대화_식사중대학생2인#1, 형태소 분석 전자파일	6CT_0042.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	674
182	일상대화_수강신청과목, 형태소 분석 전자파일	6CT_0041.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	656
183	일상대화_삼십대, 형태소 분석 전자파일	5CT_0017.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	676
184	일상대화_방학에대해, 형태소 분석 전자파일	6CT_0039.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	663
185	일상대화_미팅, 형태소 분석 전자파일	5CT_0016.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	679
186	일상대화_물품구입, 형태소 분석 전자파일	5CT_0015.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	681
187	일상대화_머리에대해서#2, 형태소 분석 전자파일	6CT_0038.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	652
188	일상대화_동아리, 형태소 분석 전자파일	6CT_0037.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	659
189	일상대화_도서관에서, 형태소 분석 전자파일	6CT_0036.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	659
190	일상대화_대학생4인잡담, 형태소 분석 전자파일	6CT_0035.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	692
191	일상대화_대학생3인잡담, 형태소 분석 전자파일	6CT_0034.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	685
192	일상대화_대학생2인잡담#2, 형태소 분석 전자파일	6CT_0033.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	666
193	일상대화_대학생2인잡담#1, 형태소 분석 전자파일	6CT_0032.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	681
194	일상대화_날씨에대해, 형태소 분석 전자파일	5CT_0014.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	701
195	일상대화_교통수단,하루생활, 형태소 분석 전자파일	5CT_0013.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	693
196	일상대화_교육에대해#2, 형태소 분석 전자파일	6CT_0031.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	666
197	일상대화_관광명소에대해, 형태소 분석 전자파일	6CT_0030.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	686
198	일상대화_강의시작전7인#2, 형태소 분석 전자파일	6CT_0029.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	669
199	일상대화_강의시작전7인#1, 형태소 분석 전자파일	6CT_0028.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	679
200	일상대화_가족과사랑에대해, 형태소 분석 전자파일	6CT_0027.txt	현대 구어	화면이 없는 방송 녹음 전사:총류-대화/일상		관리자	2014-01-09	728
